unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Lorraine-Higgins.S.2011-05-25,Lorraine,Higgins,Nominated by the Taoiseach,Lorraine Higgins,Labour Party,false,2011,24,24,False
Imelda-Henry.S.2011-05-25,Imelda,Henry,Industrial and Commercial Panel,Imelda Henry,Fine Gael,false,2011,24,24,False
James-Heffernan.S.2011-05-25,James,Heffernan,Agricultural Panel,James Heffernan,Labour Party,false,2011,24,24,False
Fidelma-Healy-Eames.S.2007-07-23,Fidelma,Healy Eames,Labour Panel,Fidelma Healy Eames,Fine Gael,false,2007,24,24,False
Aideen-Hayden.S.2011-05-25,Aideen,Hayden,Nominated by the Taoiseach,Aideen Hayden,Labour Party,false,2011,24,24,False
John-Kelly.S.2011-05-25,John,Kelly,Administrative Panel,John Kelly,Labour Party,false,2011,24,24,False
Jimmy-Harte.S.2011-05-25,Jimmy,Harte,Industrial and Commercial Panel,Jimmy Harte,Labour Party,false,2011,24,24,False
John-Gilroy.S.2011-05-25,John,Gilroy,Cultural and Educational Panel,John Gilroy,Labour Party,false,2011,24,24,False
Hildegarde-Naughton.S.2013-07-19,Hildegarde,Naughton,Nominated by the Taoiseach,Hildegarde Naughton,Fine Gael,false,2013,24,"24,32,33,34",False
Máiría-Cahill.S.2015-11-13,Máiría,Cahill,Industrial and Commercial Panel,Máiría Cahill,Labour Party,false,2015,24,24,False
Kieran-O'Donnell.D.2007-06-14,Kieran,O'Donnell,Cultural and Educational Panel,Kieran O'Donnell,Fine Gael,false,2007,25,"25,31,33,34",False
Catherine-Noone.S.2011-05-25,Catherine,Noone,Industrial and Commercial Panel,Catherine Noone,Fine Gael,false,2011,25,"24,25",False
Gerald-Nash.D.2011-03-09,Ged,Nash,Labour Panel,Ged Nash,Labour Party,false,2011,25,"25,31,33,34",False
Jennifer-Murnane-O'Connor.S.2016-04-25,Jennifer,Murnane O'Connor,Labour Panel,Jennifer Murnane O'Connor,Fianna Fáil,false,2016,25,"25,33,34",False
Gabrielle-McFadden.D.2014-05-23,Gabrielle,McFadden,Cultural and Educational Panel,Gabrielle McFadden,Fine Gael,false,2014,25,"25,31",False
Pádraig-MacLochlainn.D.2011-03-09,Pádraig,Mac Lochlainn,Industrial and Commercial Panel,Pádraig Mac Lochlainn,Sinn Féin,false,2011,25,"25,31,33,34",False
Terry-Leyden.D.1977-07-05,Terry,Leyden,Labour Panel,Terry Leyden,Fianna Fáil,false,1977,25,"24,25",False
Marie-Louise-O'Donnell.S.2011-05-25,Marie-Louise,O'Donnell,Nominated by the Taoiseach,Marie-Louise O'Donnell,Independent,false,2011,25,"24,25",False
Michelle-Mulherin.D.2011-03-09,Michelle,Mulherin,Nominated by the Taoiseach,Michelle Mulherin,Fine Gael,false,2011,25,"25,31",False
Keith-Swanick.S.2016-04-25,Keith,Swanick,Cultural and Educational Panel,Keith Swanick,Fianna Fáil,false,2016,25,25,False
Grace-O'Sullivan.S.2016-04-25,Grace,O'Sullivan,Agricultural Panel,Grace O'Sullivan,Green Party,false,2016,25,25,False
James-Reilly.D.2007-06-14,James,Reilly,Nominated by the Taoiseach,James Reilly,Fine Gael,false,2007,25,"25,31",False
Neale-Richmond.S.2016-04-25,Neale,Richmond,Labour Panel,Neale Richmond,Fine Gael,false,2016,25,"25,33,34",False
Billy-Lawless.S.2016-04-25,Billy,Lawless,Nominated by the Taoiseach,Billy Lawless,Independent,false,2016,25,25,False
Trevor-Ó-Clochartaigh.S.2011-05-25,Trevor,Ó Clochartaigh,Agricultural Panel,Trevor Ó Clochartaigh,Sinn Féin,false,2011,25,"24,25",False
Pádraig-Ó-Céidigh.S.2016-04-25,Pádraig,Ó Céidigh,Nominated by the Taoiseach,Pádraig Ó Céidigh,Independent,false,2016,25,25,False
Brian-Ó-Domhnaill.S.2007-07-23,Brian,Ó Domhnaill,Agricultural Panel,Brian Ó Domhnaill,Fianna Fáil,false,2007,25,"24,25",False
Aodhán-Ó-Ríordáin.D.2011-03-09,Aodhán,Ó Ríordáin,Industrial and Commercial Panel,Aodhán Ó Ríordáin,Labour Party,false,2011,25,"25,31,33",False
John-O'Mahony.D.2007-06-14,John,O'Mahony,Nominated by the Taoiseach,John O'Mahony,Fine Gael,false,2007,25,"25,31",False
Denis-Landy.S.2011-05-25,Denis,Landy,Agricultural Panel,Denis Landy,Labour Party,false,2011,25,"24,25",False
Rose-Conway-Walsh.S.2016-04-25,Rose,Conway-Walsh,Agricultural Panel,Rose Conway-Walsh,Sinn Féin,false,2016,25,"25,33,34",False
Colette-Kelleher.S.2016-04-25,Colette,Kelleher,Nominated by the Taoiseach,Colette Kelleher,Independent,false,2016,25,25,False
Colm-Burke.S.2011-05-25,Colm,Burke,Industrial and Commercial Panel,Colm Burke,Fine Gael,false,2011,25,"24,25,33,34",False
Ray-Butler.D.2011-03-09,Ray,Butler,Nominated by the Taoiseach,Ray Butler,Fine Gael,false,2011,25,"25,31",False
Paudie-Coffey.S.2007-07-23,Paudie,Coffey,Nominated by the Taoiseach,Paudie Coffey,Fine Gael,false,2007,25,"25,31",False
Paul-Coghlan.S.1997-09-17,Paul,Coghlan,Industrial and Commercial Panel,Paul Coghlan,Fine Gael,false,1997,25,"24,25",False
Máire-Devine.S.2016-04-25,Máire,Devine,Labour Panel,Máire Devine,Sinn Féin,false,2016,25,"25,34",False
John-Dolan.S.2016-04-25,John,Dolan,Administrative Panel,John Dolan,Independent,false,2016,25,25,False
Frank-Feighan.S.2002-09-12,Frankie,Feighan,Nominated by the Taoiseach,Frankie Feighan,Fine Gael,false,2002,25,"25,31,33,34",False
Joan-Freeman.S.2016-04-25,Joan,Freeman,Nominated by the Taoiseach,Joan Freeman,Independent,false,2016,25,25,False
Maura-Hopkins.S.2016-04-25,Maura,Hopkins,Administrative Panel,Maura Hopkins,Fine Gael,false,2016,25,25,False
Kevin-Humphreys.D.2011-03-09,Kevin,Humphreys,Administrative Panel,Kevin Humphreys,Labour Party,false,2011,25,"25,31",False
Ian-Marshall.S.2018-04-18,Ian,Marshall,Agricultural Panel,Ian Marshall,Independent,false,2018,25,25,False
Anthony-Lawlor.D.2011-03-09,Anthony,Lawlor,Agricultural Panel,Anthony Lawlor,Fine Gael,false,2011,25,"25,31",False
Annie-Hoey.S.2020-03-30,Annie,Hoey,Agricultural Panel,Annie Hoey,Labour Party,false,2020,26,26,False
Tim-Lombard.S.2016-04-25,Tim,Lombard,Agricultural Panel,Tim Lombard,Fine Gael,false,2016,26,"25,26",False
Pippa-Hackett.S.2019-11-01,Pippa,Hackett,Agricultural Panel,Pippa Hackett,Green Party,true,2019,26,"25,26",False
Elisha-McCallion.S.2020-03-30,Elisha,McCallion,Industrial and Commercial Panel,Elisha McCallion,Sinn Féin,false,2020,26,26,False
John-McGahon.S.2020-03-30,John,McGahon,Cultural and Educational Panel,John McGahon,Fine Gael,false,2020,26,26,False
Rebecca-Moynihan.S.2020-03-30,Rebecca,Moynihan,Administrative Panel,Rebecca Moynihan,Labour Party,false,2020,26,26,False
Eugene-Murphy.D.2016-10-03,Eugene,Murphy,Agricultural Panel,Eugene Murphy,Fianna Fáil,false,2016,26,"26,32",False
Marie-Sherlock.S.2020-03-30,Marie,Sherlock,Labour Panel,Marie Sherlock,Labour Party,false,2020,26,"26,34",False
Denis-O'Donovan.S.1989-10-01,Denis,O'Donovan,Agricultural Panel,Denis O'Donovan,Fianna Fáil,false,1989,26,"24,25,26",False
Pauline-O'Reilly.S.2020-03-30,Pauline,O'Reilly,Labour Panel,Pauline O'Reilly,Green Party,false,2020,26,26,False
Ned-O'Sullivan.S.2007-07-23,Ned,O'Sullivan,Labour Panel,Ned O'Sullivan,Fianna Fáil,false,2007,26,"24,25,26",False
Mark-Wall.S.2020-03-30,Mark,Wall,Industrial and Commercial Panel,Mark Wall,Labour Party,false,2020,26,"26,34",False
Barry-Ward.S.2020-03-30,Barry,Ward,Industrial and Commercial Panel,Barry Ward,Fine Gael,false,2020,26,"26,34",False
Fintan-Warfield.S.2016-04-25,Fintan,Warfield,Cultural and Educational Panel,Fintan Warfield,Sinn Féin,false,2016,26,"25,26",False
Niall-Ó-Donnghaile.S.2016-04-25,Niall,Ó Donnghaile,Administrative Panel,Niall Ó Donnghaile,Sinn Féin,false,2016,26,"25,26",False
Paul-Gavan.S.2016-04-25,Paul,Gavan,Labour Panel,Paul Gavan,Sinn Féin,false,2016,26,"25,26",False
David-PB-Norris.S.1987-04-25,David P.B.,Norris,University of Dublin,David P.B. Norris,Independent,false,1987,26,"24,25,26",False
Micheál-Carrigy.S.2020-03-30,Micheál,Carrigy,Industrial and Commercial Panel,Micheál Carrigy,Fine Gael,false,2020,26,"26,34",False
Malcolm-Byrne.D.2019-11-29,Malcolm,Byrne,Cultural and Educational Panel,Malcolm Byrne,Fianna Fáil,false,2019,26,"26,32,34",False
Jerry-Buttimer.S.2007-07-23,Jerry,Buttimer,Labour Panel,Jerry Buttimer,Fine Gael,false,2007,26,"25,26,31,34",False
John-Cummins.S.2020-03-30,John,Cummins,Labour Panel,John Cummins,Fine Gael,false,2020,26,"26,34",False
Paddy-Burke.S.1993-02-17,Paddy,Burke,Agricultural Panel,Paddy Burke,Fine Gael,false,1993,26,"24,25,26",False
Lisa-Chambers.D.2016-10-03,Lisa,Chambers,Cultural and Educational Panel,Lisa Chambers,Fianna Fáil,false,2016,26,"26,32",False
Lynn-Boylan.S.2020-03-30,Lynn,Boylan,Agricultural Panel,Lynn Boylan,Sinn Féin,false,2020,26,26,False
Ivana-Bacik.S.2007-07-23,Ivana,Bacik,University of Dublin,Ivana Bacik,Labour Party,false,2007,26,"24,25,26,33,34",False
Catherine-Ardagh.S.2016-04-25,Catherine,Ardagh,Industrial and Commercial Panel,Catherine Ardagh,Fianna Fáil,false,2016,26,"25,26,34",False
Michael-D'Arcy.D.2007-06-14,Michael,D'Arcy,Agricultural Panel,Michael D'Arcy,Fine Gael,false,2007,26,"24,26,32",False
Shane-Cassells.D.2016-10-03,Shane,Cassells,Labour Panel,Shane Cassells,Fianna Fáil,false,2016,26,"26,32",False
Mary-Seery-Kearney.S.2020-06-29,Mary,Seery Kearney,Nominated by the Taoiseach,Mary Seery Kearney,Fine Gael,false,2020,26,26,False
Regina-Doherty.D.2011-03-09,Regina,Doherty,Nominated by the Taoiseach,Regina Doherty,Fine Gael,false,2011,26,"26,31,32",False
Aisling-Dolan.S.2020-06-29,Aisling,Dolan,Nominated by the Taoiseach,Aisling Dolan,Fine Gael,false,2020,26,26,False
Vincent-P-Martin.S.2020-06-29,Vincent P.,Martin,Nominated by the Taoiseach,Vincent P. Martin,Green Party,false,2020,26,26,False
Timmy-Dooley.S.2002-09-12,Timmy,Dooley,Nominated by the Taoiseach,Timmy Dooley,Fianna Fáil,false,2002,26,"26,31,32,34",False
Emer-Currie.S.2020-06-29,Emer,Currie,Nominated by the Taoiseach,Emer Currie,Fine Gael,false,2020,26,"26,34",False
Róisín-Garvey.S.2020-06-29,Róisín,Garvey,Nominated by the Taoiseach,Róisín Garvey,Green Party,false,2020,26,26,False
Erin-McGreehan.S.2020-06-29,Erin,McGreehan,Nominated by the Taoiseach,Erin McGreehan,Fianna Fáil,false,2020,26,"26,34",False
Gerry-Horkan.S.2016-04-25,Gerry,Horkan,Industrial and Commercial Panel,Gerry Horkan,Fianna Fáil,false,2016,26,"25,26",False
Malachai-O'Hara.S.2024-04-08,Malachai,O'Hara,Administrative Panel,Malachai O'Hara,Green Party,false,2024,26,26,False
Alan-Farrell.D.2011-03-09,Alan,Farrell,Nominated by the Taoiseach,Alan Farrell,Fine Gael,false,2011,26,"26,31,32,33",False
