unique_member_code,date_of_death,party,party_code,party_start_date,party_end_date,dail_chamber_type,dail_term,dail_number,dail_code,membership_start_date,membership_end_date,committee_1_name_en,committee_1_name_start_date,committee_1_name_end_date,committee_1_status,committee_1_type,committee_1_expiry_type,committee_1_main_status,committee_1_start_date,committee_1_end_date,committee_1_member_start_date,committee_1_member_end_date,committee_2_name_en,committee_2_name_start_date,committee_2_name_end_date,committee_2_expiry_type,committee_2_type,committee_2_main_status,committee_2_status,committee_2_start_date,committee_2_end_date,committee_2_member_start_date,committee_2_member_end_date,committee_3_name_en,committee_3_name_start_date,committee_3_name_end_date,committee_3_expiry_type,committee_3_type,committee_3_main_status,committee_3_status,committee_3_start_date,committee_3_end_date,committee_3_member_start_date,committee_3_member_end_date,constituency_code,constituency_name,last_name,full_name,first_name,committee_1_role_title,committee_1_role_start_date,committee_1_role_end_date,committee_3_role_title,committee_3_role_start_date,committee_3_role_end_date,committee_4_name_en,committee_4_name_start_date,committee_4_name_end_date,committee_4_expiry_type,committee_4_type,committee_4_main_status,committee_4_status,committee_4_start_date,committee_4_end_date,committee_4_member_start_date,committee_4_member_end_date,office_1_name,office_1_start_date,office_1_end_date,committee_1_alt_name_en,committee_1_alt_name_start_date,committee_1_alt_name_end_date,committee_4_alt_name_en,committee_4_alt_name_start_date,committee_4_alt_name_end_date,committee_5_name_en,committee_5_name_start_date,committee_5_name_end_date,committee_5_expiry_type,committee_5_type,committee_5_main_status,committee_5_status,committee_5_start_date,committee_5_end_date,committee_5_member_start_date,committee_5_member_end_date,committee_6_name_en,committee_6_name_start_date,committee_6_name_end_date,committee_6_expiry_type,committee_6_type,committee_6_main_status,committee_6_status,committee_6_start_date,committee_6_end_date,committee_6_member_start_date,committee_6_member_end_date,committee_7_name_en,committee_7_name_start_date,committee_7_name_end_date,committee_7_expiry_type,committee_7_type,committee_7_main_status,committee_7_status,committee_7_start_date,committee_7_end_date,committee_7_member_start_date,committee_7_member_end_date,committee_8_name_en,committee_8_name_start_date,committee_8_name_end_date,committee_8_expiry_type,committee_8_type,committee_8_main_status,committee_8_status,committee_8_start_date,committee_8_end_date,committee_8_member_start_date,committee_8_member_end_date,committee_2_role_title,committee_2_role_start_date,committee_2_role_end_date,committee_4_role_title,committee_4_role_start_date,committee_4_role_end_date,committee_7_role_title,committee_7_role_start_date,committee_7_role_end_date,committee_9_name_en,committee_9_name_start_date,committee_9_name_end_date,committee_9_expiry_type,committee_9_type,committee_9_main_status,committee_9_status,committee_9_start_date,committee_9_end_date,committee_9_member_start_date,committee_9_member_end_date,committee_10_role_title,committee_10_name_en,committee_10_name_start_date,committee_10_name_end_date,committee_10_expiry_type,committee_10_type,committee_10_main_status,committee_10_status,committee_10_start_date,committee_10_end_date,committee_10_member_start_date,committee_10_member_end_date,office_2_name,office_2_start_date,office_2_end_date,committee_5_role_title,committee_5_role_start_date,committee_5_role_end_date,committee_6_role_title,committee_6_role_start_date,committee_6_role_end_date,office_3_name,office_3_start_date,office_3_end_date,office_4_name,office_4_start_date,office_4_end_date,committee_2_alt_name_en,committee_2_alt_name_start_date,committee_2_alt_name_end_date,committee_8_alt_name_en,committee_8_alt_name_start_date,committee_8_alt_name_end_date,committee_11_role,committee_11_name_en,committee_11_name_start_date,committee_11_name_end_date,committee_11_expiry_type,committee_11_type,committee_11_main_status,committee_11_status,committee_11_start_date,committee_11_end_date,committee_11_member_start_date,committee_11_member_end_date,committee_12_role,committee_12_name_en,committee_12_name_start_date,committee_12_name_end_date,committee_12_expiry_type,committee_12_type,committee_12_service_unit,committee_12_main_status,committee_12_status,committee_12_start_date,committee_12_end_date,committee_12_member_start_date,committee_12_member_end_date,committee_6_alt_name_en,committee_6_alt_name_start_date,committee_6_alt_name_end_date,committee_3_alt_name_en,committee_3_alt_name_start_date,committee_3_alt_name_end_date,office_5_start_date,office_5_end_date,office_5_name,office_6_start_date,office_6_end_date,office_6_name,party_1_name,party_1_code,party_1_start_date,party_1_end_date,party_2_name,party_2_code,party_2_start_date,party_2_end_date,committee_8_role_title,committee_8_role_start_date,committee_8_role_end_date,committee_12_role_title,committee_12_role_start_date,committee_12_role_end_date,ministerial_office,year_elected
John-Connolly.D.2024-11-29,,Fianna Fáil,Fianna_Fáil,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Key Issues Affecting the Traveller Community,2025-05-01 00:00:00+00:00,,Live - Primary,Policy,Sessional,Live,2025-05-12 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2026-01-20 00:00:00+00:00,,Joint Committee on Fisheries and Maritime Affairs,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-07 00:00:00+00:00,,2025-07-02 00:00:00+00:00,2026-01-20 00:00:00+00:00,Galway-West,Galway West,Connolly,John Connolly,John,,,,,,,"Joint Committee on Further and Higher Education, Research, Innovation and Science",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,"Comhchoiste na Gaeilge, na Gaeltachta agus Phobal Labhartha na Gaeilge",2025-01-29 00:00:00+00:00,,Standing,Policy,Live,Live - Primary,2025-02-12 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on Key Issues Affecting the Traveller Community,2025-05-01 00:00:00+00:00,,Sessional,Policy,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,"Roghchoiste na Gaeilge, na Gaeltachta agus Phobal Labhartha na Gaeilge",2025-01-29 00:00:00+00:00,,Standing,Policy,Live,Live - Primary,2025-02-12 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2026-01-20 00:00:00+00:00,,,,,,,,,,,"Select Committee on Further and Higher Education, Research, Innovation and Science",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,[],Select Committee on Fisheries and Maritime Affairs,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-07-02 00:00:00+00:00,2026-01-20 00:00:00+00:00,,,,,,,,,,,,,,,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Rose-Conway-Walsh.S.2016-04-25,,Sinn Féin,Sinn_Féin,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on the Implementation of the Good Friday Agreement ,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-12 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,"Joint Committee on Enterprise, Tourism and Employment",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Working Group of Committee Cathaoirligh,2025-01-29 00:00:00+00:00,,Standing,The Committee System and Parliamentary Administration,Live,Live - Primary,2025-02-12 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Mayo,Mayo,Conway-Walsh,Rose Conway-Walsh,Rose,,,,,,,Joint Committee on Defence and National Security,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,Select Committee on Defence and National Security,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on the Implementation of the Good Friday Agreement ,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,"Select Committee on Enterprise, Tourism and Employment",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,Cathaoirleach,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathaoirleach,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2016
Joe-Cooney.D.2024-11-29,,Fine Gael,Fine_Gael,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Agriculture and Food,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-07 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Joint Committee on Fisheries and Maritime Affairs,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-07 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,"Joint Committee on Housing, Local Government and Heritage",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-07 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Clare,Clare,Cooney,Joe Cooney,Joe,,,,,,,Select Committee on Agriculture and Food,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,Select Committee on Fisheries and Maritime Affairs,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,"Select Committee on Housing, Local Government and Heritage",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Ruth-Coppinger.D.2014-05-23,,People Before Profit-Solidarity,People_Before_Profit_Solidarity,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Remit Oversight,2025-01-29 00:00:00+00:00,,Live - Primary,Parliamentary Regulation and Reform,Standing,Live,2025-02-12 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,Joint Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Committee on Parliamentary Privileges and Oversight (Dáil Éireann),2024-11-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,Dublin-West,Dublin West,Coppinger,Ruth Coppinger,Ruth,,,,,,,Committee on Remit Oversight (Dáil Éireann),2025-01-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,,,,,,,,,,Select Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2014
Réada-Cronin.D.2020-02-08,,Sinn Féin,Sinn_Féin,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Infrastructure and National Development Plan Delivery,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-07 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,"Joint Committee on Climate, Environment and Energy",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on Infrastructure and National Development Plan Delivery,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Kildare-North,Kildare North,Cronin,Réada Cronin,Réada,,,,,,,"Select Committee on Climate, Environment and Energy",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2020
Cathal-Crowe.D.2020-02-08,,Fianna Fáil,Fianna_Fáil,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Joint Committee on Transport,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Working Group of Committee Cathaoirligh,2025-01-29 00:00:00+00:00,,Standing,The Committee System and Parliamentary Administration,Live,Live - Primary,2025-02-12 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Clare,Clare,Crowe,Cathal Crowe,Cathal,Cathaoirleach,2025-05-07 00:00:00+00:00,,,,,Select Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,Select Committee on Transport,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Committee on Budgetary Oversight,2024-11-29 00:00:00+00:00,,Standing,Oversight,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathaoirleach,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2020
Seán-Crowe.D.2002-06-06,,Sinn Féin,Sinn_Féin,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on European Union Affairs,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Joint Committee on the Implementation of the Good Friday Agreement ,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-12 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on the Implementation of the Good Friday Agreement ,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Dublin-South-West,Dublin South-West,Crowe,Seán Crowe,Seán,,,,,,,Select Committee on European Union Affairs,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2002
David-Cullinane.S.2011-05-25,,Sinn Féin,Sinn_Féin,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Health,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on Health,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,Waterford,Waterford,Cullinane,David Cullinane,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2011
Jen-Cummins.D.2024-11-29,,Social Democrats,Social_Democrats,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Remit Oversight,2025-01-29 00:00:00+00:00,,Live - Primary,Parliamentary Regulation and Reform,Standing,Live,2025-02-12 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,Joint Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Committee on Parliamentary Privileges and Oversight (Dáil Éireann),2024-11-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,Dublin-South-Central,Dublin South-Central,Cummins,Jen Cummins,Jen,,,,,,,Committee on Remit Oversight (Dáil Éireann),2025-01-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,,,,,,,,,,Select Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
John-Cummins.S.2020-03-30,,Fine Gael,Fine_Gael,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waterford,Waterford,Cummins,John Cummins,John,,,,,,,,,,,,,,,,,,"Minister of State at the Department of Housing, Local Government and Heritage",2025-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2020
Emer-Currie.S.2020-06-29,,Fine Gael,Fine_Gael,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,2026-05-26 00:00:00+00:00,Joint Committee on Remit Oversight,2025-01-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2025-02-12 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,Joint Committee on Transport,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Dublin-West,Dublin West,Currie,Emer Currie,Emer,,,,,,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Business Committee (Dáil Éireann),2024-11-29 00:00:00+00:00,,Standing,Parliamentary Business and Committee Membership,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-01-16 00:00:00+00:00,,Committee of Selection (Dáil Éireann),2024-11-29 00:00:00+00:00,,Standing,Parliamentary Business and Committee Membership,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-01-16 00:00:00+00:00,,Committee on Remit Oversight (Dáil Éireann),2025-01-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,Committee on Parliamentary Privileges and Oversight (Dáil Éireann),2024-11-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-21 00:00:00+00:00,,[],Committee on Standing Orders and Dáil Reform,2024-11-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-01-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,[],Select Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,2026-05-26 00:00:00+00:00,[],Select Committee on Transport,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Committees' Secretariat,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2020
Martin-Daly.D.2024-11-29,,Fianna Fáil,Fianna_Fáil,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Disability Matters,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Joint Committee on Health,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on Disability Matters,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Roscommon-Galway,Roscommon-Galway,Daly,Martin Daly,Martin,,,,,,,Select Committee on Health,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Pa-Daly.D.2020-02-08,,Sinn Féin,Sinn_Féin,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Transport,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,"Joint Committee on Climate, Environment and Energy",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on Transport,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Kerry,Kerry,Daly,Pa Daly,Pa,,,,,,,"Select Committee on Climate, Environment and Energy",2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2020
Aisling-Dempsey.D.2024-11-29,,Fianna Fáil,Fianna_Fáil,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Disability Matters,2025-05-01 00:00:00+00:00,,Live - Primary,Shadow Department,Sessional,Live,2025-05-13 00:00:00+00:00,,2026-04-16 00:00:00+00:00,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Joint Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Meath-West,Meath West,Dempsey,Aisling Dempsey,Aisling,,,,,,,Select Committee on Education and Youth,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,,,,,,,,,,Select Committee on Disability Matters,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2026-04-16 00:00:00+00:00,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Sessional,Shadow Department,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Committee on Standing Orders and Dáil Reform,2024-11-29 00:00:00+00:00,,Standing,Parliamentary Regulation and Reform,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-01-24 00:00:00+00:00,,,,,,,,,,,,,Leas-Chathaoirleach,2025-06-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leas-Chathaoirleach,2025-06-19 00:00:00+00:00,,,,,,,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Máire-Devine.S.2016-04-25,,Sinn Féin,Sinn_Féin,2024-11-29,,house,34th Dáil,34,dail,2024-11-29,,Joint Committee on Drugs Use,2025-05-01 00:00:00+00:00,,Live - Primary,Policy,Special,Live,2025-05-13 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Committee on Budgetary Oversight,2024-11-29 00:00:00+00:00,,Standing,Oversight,Live,Live - Primary,2024-12-18 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Select Committee on Drugs Use,2025-05-01 00:00:00+00:00,,Special,Policy,Live,Live - Primary,2025-04-30 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Dublin-South-Central,Dublin South-Central,Devine,Máire Devine,Máire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2016
